"id","name","creation_date"
"002c8da0-d3ed-4da6-9a5e-3f2a83c168ca","[DPC] Integrative Family Care","2023-02-08 16:12:12.533965+00"
"7032d6cb-ca4a-4a1f-9809-4be9b50e6644","[DPC] CovenantMD","2023-02-21 21:45:01.282849+00"
"7dc49f65-50d0-4164-8124-e928c7b5b4a1","[DPC] Lotus Direct Care","2022-07-25 14:18:03.803272+00"
"4a1c1f7a-864a-4b37-9125-b22d9856aadb","[DPC] Schumacher Family Medicine","2023-03-13 17:31:56.965454+00"
"de117e97-2497-4daf-9f56-f48bb7749a39","[Research] UC Boulder","2023-03-13 17:54:22.4939+00"
"495ceaf5-4af9-49df-8311-d3c66ef45adf","[DPC] Private Medical","2023-04-05 14:54:56.057933+00"
"dda844d8-1a59-4be6-8a76-592018f5ac83","[ALLERGY] Charleston ENT & Allergy","2023-04-27 15:49:02.523636+00"
"9322020c-42bd-499d-a1c3-6625d588d212","[ALLERGY] Allergy and Asthma Centers of NW","2023-05-11 15:25:48.464006+00"
"70d4871e-fe2e-4ba6-bd29-6d56591f6cf4","[DPC] PeopleOne Health","2023-06-08 18:05:16.670461+00"
"b25c004b-aa9c-401e-aadb-19eecddd925c","[DPC] HomesteadMD","2023-06-16 23:31:59.730416+00"
"c4a33cf4-a67d-4010-b45f-67b1147aa07c","[DPC] MyMD Select","2023-06-19 17:03:16.834645+00"
"b0d13bd7-52d2-4b7d-a56d-93ca840f1496","[DPC] Liberty Bell Family Medicine","2023-06-19 18:06:54.870013+00"
"a951acf4-d6ad-4a32-953b-c45976bbb9b2","[DPC] Sparks Family Medicine","2023-06-28 16:34:32.350246+00"
"b7980d8a-e8ed-4b51-9568-fe3d23c911a2","[STUDY] Duke iPRO","2023-07-20 16:22:35.202264+00"
"a0013fdb-04ab-4ff5-aa09-676418ce3e16","[DPC] Family First DPC","2023-09-22 16:03:42.928898+00"
"535dc15d-4748-48f2-a3b2-e3d70231cf54","[IDN] FirstHealth Teal Family Medicine","2023-04-05 14:59:30.575877+00"
"0ad24490-a110-4b2a-ad0a-665365a381c8","[IDN] FirstHealth West Main Family Medicine","2023-04-05 15:02:08.552543+00"
"ba6564ff-0709-45ec-a422-809973a7e856","[IDN] FirstHealth Richmond Internal Medicine","2023-04-05 15:03:30.703705+00"
